QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.01375,0.00251,2.03735,-0.07626,0.04908,0.13559,2197.0,0.05, 32 x 1,0.05,0.1,3670.0,4.0,8.0, 25 x 41,7.84,-0.98776,0.0,0.0,-44.12029,-0.0728,0.00226,2081.0,1.9,0.001
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00482,0.0008,0.84669,-0.02499,0.02038,0.13524,3022.0,0.05, 0 x 38,0.0,0.05,3675.0,9.5,13.4, 25 x 10,17.46,-0.9879,0.0,0.0,-44.12004,-0.07336,0.00267,946.0,6.9,0.002
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.0045,0.00084,0.33127,-0.02466,0.00766,0.13585,2398.0,0.05, 0 x 68,0.0,0.05,3680.0,14.5,18.7, 25 x 10,18.6,-0.98775,0.0,0.0,-44.12,-0.07301,0.00208,1369.0,11.9,0.003
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00421,0.00086,0.12607,-0.0247,0.00298,0.13734,1566.0,0.05, 0 x 30,0.0,0.05,3685.0,19.5,23.4, 25 x 10,22.1,-0.98766,0.0,0.0,-44.12001,-0.07344,0.00208,549.0,16.9,0.005
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00491,0.0008,0.049,-0.02501,0.0007,0.14058,2735.0,0.05, 0 x 60,0.0,0.05,3690.0,24.5,28.7, 25 x 10,35.0,-0.98819,0.0,0.0,-44.11993,-0.07329,0.002,767.0,21.9,0.006
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00451,0.00066,0.02529,-0.02487,0.00044,0.14634,1707.0,0.07, 0 x 102,0.0,0.05,3695.0,29.6,33.4, 25 x 10,42.6,-0.98767,0.0,0.0,-44.11919,-0.07328,0.00238,315.0,26.9,0.007
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00342,0.00063,0.01861,-0.02461,0.00059,0.15656,5289.0,0.05, 0 x 212,0.0,0.05,3700.0,34.6,38.7, 25 x 10,34.5,-0.98778,0.0,0.0,-44.11967,-0.07397,0.00226,916.0,31.9,0.009
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00381,0.0005,0.01641,-0.02481,0.00035,0.16738,1240.0,0.05, 0 x 113,0.0,0.05,3705.0,39.6,43.4, 25 x 10,43.62,-0.98765,0.0,0.0,-44.11901,-0.07366,0.00202,118.0,36.9,0.01
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.0029,0.00045,0.01512,-0.0256,0.00036,0.17787,1824.0,0.05, 0 x 38,0.0,0.05,3710.0,44.6,48.7, 25 x 10,43.0,-0.98756,0.0,0.0,-44.1189,-0.07404,0.00189,192.0,41.9,0.011
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00335,0.00038,0.01416,-0.02469,0.00015,0.18819,1040.0,0.1, 0 x 82,0.0,0.05,3715.0,49.6,53.4, 25 x 10,43.98,-0.98784,0.0,0.0,-44.11838,-0.07424,0.00233,169.0,46.9,0.013
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00275,0.00031,0.0142,-0.02554,-0.00025,0.19891,2360.0,0.05, 0 x 184,0.0,0.05,3720.0,54.6,58.7, 25 x 10,70.98,-0.98753,0.0,0.0,-44.11847,-0.0744,0.00219,89.0,51.9,0.014
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00282,0.0003,0.01309,-0.02492,0.0005,0.2094,1666.0,0.05, 0 x 95,0.0,0.05,3725.0,59.6,63.4, 25 x 10,75.98,-0.98816,0.0,0.0,-44.11826,-0.0745,0.00261,284.0,56.9,0.016
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.0027,0.00025,0.01242,-0.02567,0.00035,0.21944,1905.0,0.05, 0 x 200,0.0,0.05,3730.0,64.5,68.7, 25 x 10,78.98,-0.98806,0.0,0.0,-44.11883,-0.07492,0.0021,103.0,61.9,0.017
1655409600, 2022-06-16 16:00, 2022-06-16,16.0,3668.12, 2022-06-16,1655409600,0.0,0.00233,0.00021,0.012,-0.02502,0.00055,0.23011,1978.0,0.05, 0 x 65,0.0,0.05,3735.0,69.5,73.7, 25 x 10,73.57,-0.98837,0.0,0.0,-44.11862,-0.07485,0.0027,30.0,66.9,0.018
