QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.95684,0.00047,0.14076,-1.11016,0.01659,1.18811,1.0,265.08, 40 x 1,307.9,331.1,3500.0,0.0,0.05, 0 x 1307,0.05,-0.00055,1e-05,0.00547,-0.02483,-0.00039,0.61464,186.0,318.4,0.083
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.9569,0.00048,0.14062,-1.10982,0.0176,1.154,1.0,255.38, 40 x 1,297.9,321.1,3510.0,0.0,0.05, 0 x 743,0.05,-0.00084,-2e-05,0.00518,-0.02479,0.0,0.59578,1.0,308.4,0.081
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.9565,0.00045,0.14029,-1.11002,0.01793,1.13776,1.0,273.4, 40 x 1,292.9,316.1,3515.0,0.0,0.05, 0 x 743,0.35,-0.00086,-2e-05,0.00521,-0.02497,-0.00049,0.58596,12.0,303.4,0.079
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.95679,0.00055,0.14131,-1.11051,0.01804,1.10402,1.0,263.6, 40 x 1,282.9,306.1,3525.0,0.0,0.05, 0 x 844,0.05,-0.00121,3e-05,0.00517,-0.02524,0.0,0.56691,3.0,293.4,0.077
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.95667,0.00063,0.14256,-1.10971,0.01946,1.02092,1.0,169.8, 40 x 1,257.9,281.1,3550.0,0.0,0.05, 0 x 1093,0.07,-0.00093,7e-05,0.00551,-0.02506,0.0,0.52041,1.0,268.4,0.07
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.95808,0.00069,0.14049,-1.01009,0.01936,0.96486,2.0,147.5, 40 x 1,242.9,265.9,3565.0,0.0,0.05, 0 x 631,0.6,-0.00149,3e-05,0.00588,-0.02469,-0.0002,0.49241,6.0,253.4,0.066
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.95606,0.00071,0.14589,-1.11054,0.01968,0.95483,14.0,340.0, 40 x 1,237.9,261.1,3570.0,0.0,0.05, 0 x 631,0.1,-0.00081,3e-05,0.00622,-0.02478,0.0,0.48233,1.0,248.4,0.065
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.94282,0.001,0.18534,-1.70971,0.02654,0.84479,6.0,0.0, 40 x 1,198.1,212.1,3615.0,0.0,0.05, 0 x 575,0.1,-0.00174,7e-05,0.00771,-0.02577,-0.00019,0.39764,8.0,203.4,0.053
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.93798,0.00112,0.19854,-1.95993,0.02748,0.8408,2.0,0.0, 40 x 1,193.6,207.1,3620.0,0.0,0.05, 0 x 575,0.07,-0.00141,0.0001,0.00732,-0.02557,-0.00057,0.38851,14.0,198.4,0.052
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.93721,0.00118,0.20078,-1.96014,0.0284,0.82472,1.0,148.71, 40 x 1,188.6,202.1,3625.0,0.0,0.05, 0 x 576,0.05,-0.00154,7e-05,0.00768,-0.02563,0.0,0.3791,71.0,193.4,0.051
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.93469,0.00129,0.20637,-1.95981,0.02867,0.79106,6.0,86.3, 40 x 1,178.6,192.1,3635.0,0.0,0.05, 0 x 556,0.15,-0.00098,0.0001,0.00793,-0.02561,0.0,0.36038,23.0,183.4,0.048
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.93726,0.00136,0.20083,-1.7101,0.02731,0.74538,1.0,85.4, 40 x 1,168.1,182.1,3645.0,0.0,0.05, 0 x 552,0.05,-0.00128,7e-05,0.00852,-0.02528,-0.0002,0.34084,34.0,173.4,0.045
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.93537,0.00141,0.20431,-1.70997,0.02759,0.72854,3.0,79.3, 40 x 1,163.1,177.1,3650.0,0.0,0.05, 0 x 701,0.07,-0.00106,0.00011,0.00886,-0.02456,0.0,0.33154,9.0,168.4,0.044
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.92806,0.00159,0.22249,-1.95988,0.03004,0.707,6.0,89.1, 40 x 1,153.6,167.1,3660.0,0.0,0.05, 0 x 556,0.05,-0.00187,0.00014,0.0087,-0.02517,0.0,0.31238,14.0,158.4,0.041
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.92732,0.00161,0.22648,-1.9603,0.03052,0.6902,1.0,232.2, 40 x 1,148.6,162.1,3665.0,0.0,0.05, 0 x 572,0.15,-0.00174,0.00013,0.00952,-0.0249,-0.0003,0.3025,17.0,153.4,0.04
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.90211,0.00173,0.2859,-3.4102,0.03522,0.72989,1.0,133.33, 1 x 40,144.0,159.6,3670.0,0.0,0.05, 0 x 562,0.05,-0.00125,0.00011,0.0093,-0.02451,0.0,0.29276,18.0,148.4,0.039
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.90052,0.00188,0.29,-3.40964,0.03524,0.71119,1.0,116.06, 1 x 40,139.0,154.6,3675.0,0.0,0.05, 0 x 828,0.05,-0.0013,0.0001,0.00944,-0.02543,-0.0006,0.28346,76.0,143.4,0.038
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.89749,0.00193,0.29537,-3.41014,0.03575,0.69349,6.0,78.2, 1 x 40,134.0,149.6,3680.0,0.0,0.05, 0 x 435,0.05,-0.00196,0.00017,0.00969,-0.02494,0.0,0.27455,45.0,138.4,0.036
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.89511,0.00202,0.30093,-3.41006,0.03607,0.67527,1.0,147.95, 1 x 40,129.0,144.6,3685.0,0.0,0.05, 0 x 433,0.05,-0.00206,0.00013,0.01048,-0.02527,-0.00043,0.26456,106.0,133.4,0.035
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.89281,0.00213,0.30594,-3.40982,0.03637,0.65686,4.0,76.3, 1 x 40,124.0,139.6,3690.0,0.0,0.05, 0 x 381,0.05,-0.00221,0.0001,0.01035,-0.02534,0.0,0.25528,86.0,128.4,0.034
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.88984,0.00216,0.31147,-3.41012,0.03653,0.63824,1.0,138.05, 1 x 40,119.0,134.6,3695.0,0.0,0.05, 0 x 381,0.05,-0.00234,0.00016,0.01111,-0.02556,0.0,0.2458,128.0,123.4,0.032
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.88672,0.0023,0.3173,-3.40962,0.036,0.61994,15.0,121.02, 1 x 40,114.0,129.6,3700.0,0.0,0.05, 0 x 651,0.05,-0.00237,0.00013,0.01181,-0.0251,-0.00053,0.23625,582.0,118.4,0.031
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.88355,0.00247,0.32412,-3.41034,0.03633,0.60193,2.0,117.75, 1 x 40,109.0,124.6,3705.0,0.0,0.05, 0 x 285,0.05,-0.00192,0.00015,0.01204,-0.02531,-2e-05,0.22606,68.0,113.4,0.03
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.89689,0.00264,0.29465,-2.46044,0.0337,0.55273,3.0,199.15, 1 x 40,104.0,117.7,3710.0,0.0,0.05, 0 x 436,0.05,-0.00237,0.00018,0.01222,-0.02537,-0.00012,0.21632,172.0,108.4,0.028
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.89643,0.0032,0.29428,-2.01016,0.03278,0.48276,1.0,62.2, 5 x 20,93.2,97.6,3725.0,0.0,0.05, 0 x 391,0.05,-0.00221,0.0003,0.01394,-0.02525,-4e-05,0.18708,725.0,93.4,0.024
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.84573,0.0032,0.39578,-4.61001,0.03877,0.53866,1.0,81.48, 25 x 20,90.4,95.6,3730.0,0.0,0.05, 0 x 357,0.05,-0.00323,0.00029,0.01486,-0.02513,0.0,0.17772,477.0,88.4,0.023
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.83995,0.0034,0.40503,-4.60974,0.03896,0.51849,7.0,80.63, 25 x 20,85.4,90.6,3735.0,0.0,0.05, 0 x 299,0.05,-0.00336,0.00036,0.01584,-0.02552,0.0,0.16794,895.0,83.4,0.022
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.83394,0.00364,0.41403,-4.60968,0.03923,0.49808,1.0,75.68, 25 x 20,80.4,85.6,3740.0,0.0,0.05, 0 x 278,0.05,-0.00274,0.00032,0.01642,-0.02537,-0.00033,0.15793,954.0,78.4,0.021
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.82767,0.00386,0.42417,-4.61033,0.03896,0.47715,6.0,65.5, 25 x 20,75.4,80.6,3745.0,0.0,0.05, 0 x 228,0.05,-0.00278,0.00037,0.01711,-0.02472,0.0,0.14822,684.0,73.4,0.019
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.82123,0.00414,0.4343,-4.61037,0.03889,0.45578,158.0,66.5, 25 x 20,70.4,75.6,3750.0,0.0,0.05, 0 x 675,0.05,-0.00317,0.00042,0.01789,-0.02509,-0.00032,0.13863,2002.0,68.4,0.018
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.81347,0.00446,0.44566,-4.60964,0.03807,0.43442,1.0,56.3, 25 x 20,65.4,70.6,3755.0,0.0,0.05, 0 x 235,0.05,-0.00408,0.00047,0.0195,-0.02539,-0.00036,0.12856,1159.0,63.4,0.017
1656532800, 2022-06-29 16:00, 2022-06-29,16.0,3818.39, 2022-06-29,1656532800,0.0,0.80485,0.00478,0.45741,-4.60961,0.03824,0.41298,5.0,55.66, 25 x 20,60.4,65.6,3760.0,0.0,0.05, 0 x 361,0.05,-0.00381,0.00059,0.02035,-0.02453,-1e-05,0.11863,970.0,58.4,0.015
