QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.1011,0.02925,1.69848,-0.34925,0.04171,0.08087,1222.0,0.3, 3 x 1,0.25,0.45,3765.0,3.0,3.5, 7 x 1,3.3,-0.99244,0.0,0.0,-26.66158,-0.07477,0.00263,1868.0,0.5,0.0
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00763,0.0022,0.52585,-0.02499,0.01318,0.08008,3988.0,0.05, 0 x 7,0.0,0.05,3770.0,6.5,9.0, 18 x 23,7.4,-0.99296,0.0,0.0,-26.6613,-0.07488,0.00223,1737.0,5.5,0.001
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.0076,0.00212,0.10453,-0.02526,0.00182,0.08145,2895.0,0.05, 0 x 70,0.0,0.05,3775.0,11.3,14.4, 8 x 5,11.3,-0.99337,0.0,0.0,-26.66125,-0.07575,0.00239,844.0,10.5,0.003
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00652,0.00175,0.0342,-0.02542,0.00059,0.08835,4137.0,0.05, 0 x 224,0.0,0.05,3780.0,16.5,19.4, 10 x 5,9.7,-1.0,0.0,-165.4,0.0,0.0,0.00176,415.0,15.5,0.004
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00568,0.00124,0.02589,-0.02493,7e-05,0.0998,2288.0,0.05, 0 x 206,0.0,0.05,3785.0,21.2,24.4, 10 x 5,20.59,-0.99331,0.0,0.0,-26.66105,-0.07597,0.00197,188.0,20.5,0.005
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00526,0.00092,0.02325,-0.02508,0.00014,0.11049,3163.0,0.05, 0 x 284,0.0,0.05,3790.0,26.0,29.4, 10 x 5,22.24,-0.99243,0.0,0.0,-26.66094,-0.07539,0.00264,97.0,25.5,0.007
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00415,0.00073,0.02068,-0.02532,0.00049,0.12147,2288.0,0.05, 0 x 207,0.0,0.05,3795.0,31.0,34.4, 10 x 5,24.82,-0.99248,0.0,0.0,-26.66133,-0.07596,0.00194,37.0,30.5,0.008
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00381,0.00063,0.01948,-0.02464,0.00034,0.13217,6993.0,0.05, 0 x 825,0.0,0.05,3800.0,36.0,39.1, 10 x 22,29.45,-0.993,0.0,0.0,-26.66094,-0.07599,0.00218,275.0,35.5,0.009
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00342,0.00053,0.01778,-0.02464,-0.00025,0.14217,2124.0,0.05, 0 x 312,0.0,0.05,3805.0,41.0,44.4, 10 x 5,34.5,-0.99322,0.0,0.0,-26.66063,-0.07548,0.00175,27.0,40.5,0.011
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00358,0.00043,0.01718,-0.02487,0.00026,0.15239,1983.0,0.05, 0 x 264,0.0,0.05,3810.0,46.0,49.4, 10 x 5,32.02,-0.99289,0.0,0.0,-26.65997,-0.07591,0.00257,14.0,45.5,0.012
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00346,0.00034,0.01596,-0.02544,-0.0003,0.16215,2038.0,0.05, 0 x 375,0.0,0.05,3815.0,51.0,54.4, 10 x 5,49.15,-0.99317,0.0,0.0,-26.6602,-0.07611,0.0023,32.0,50.5,0.013
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00291,0.00034,0.01562,-0.0253,3e-05,0.17269,2414.0,0.05, 0 x 436,0.0,0.05,3820.0,56.0,59.4, 10 x 5,54.15,-0.99306,0.0,0.0,-26.66046,-0.07594,0.00188,17.0,55.5,0.015
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00294,0.00027,0.01469,-0.02553,0.00029,0.18215,1837.0,0.05, 0 x 876,0.0,0.05,3825.0,61.0,64.4, 10 x 5,155.0,-0.99257,0.0,0.0,-26.65953,-0.0765,0.00224,6.0,60.5,0.016
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.0026,0.0003,0.0144,-0.02532,0.00056,0.19267,1407.0,0.02, 0 x 915,0.0,0.05,3830.0,66.0,69.4, 10 x 5,57.2,-0.99291,0.0,0.0,-26.65931,-0.07677,0.00229,13.0,65.5,0.017
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00304,0.00029,0.01346,-0.02498,0.00056,0.20231,737.0,0.05, 0 x 491,0.0,0.05,3835.0,71.0,74.4, 10 x 5,59.7,-0.99301,0.0,0.0,-26.65981,-0.07629,0.00222,6.0,70.5,0.019
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00247,0.0002,0.01335,-0.02556,0.0004,0.21189,1865.0,0.05, 0 x 1294,0.0,0.05,3840.0,76.0,79.4, 10 x 5,78.89,-0.99253,0.0,0.0,-26.65914,-0.07679,0.00238,3.0,75.5,0.02
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.0024,0.00017,0.01252,-0.02541,0.00049,0.22103,1876.0,0.05, 0 x 848,0.0,0.05,3845.0,81.0,84.4, 10 x 5,179.49,-0.99336,0.0,0.0,-26.65986,-0.07722,0.00255,3.0,80.5,0.021
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00273,0.00015,0.01211,-0.02578,-0.00034,0.23076,612.0,0.05, 0 x 1347,0.0,0.05,3850.0,86.0,89.4, 10 x 5,88.99,-0.9928,0.0,0.0,-26.65942,-0.07722,0.00195,1.0,85.5,0.023
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00229,0.00019,0.01168,-0.02494,-0.00031,0.23952,789.0,0.05, 0 x 668,0.0,0.05,3855.0,91.0,94.4, 10 x 5,184.89,-0.99265,0.0,0.0,-26.65914,-0.07646,0.00248,1.0,90.5,0.024
1655841600, 2022-06-21 16:00, 2022-06-21,16.0,3764.46, 2022-06-21,1655841600,0.0,0.00235,0.00012,0.01065,-0.02528,9e-05,0.24873,385.0,0.05, 0 x 725,0.0,0.05,3860.0,96.0,99.4, 10 x 5,91.9,-0.9928,0.0,0.0,-26.65909,-0.07689,0.00172,1.0,95.5,0.025
