QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.97443,0.00045,0.08816,-0.46955,0.00873,1.72991,5.0,297.39, 32 x 34,464.1,468.8,3650.0,0.0,0.05, 0 x 4638,0.05,-0.00019,2e-05,0.00416,-0.02499,0.0,0.80614,10.0,466.0,0.113
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.97543,0.00052,0.08607,-0.47014,0.00993,1.56876,1.0,429.3, 32 x 33,414.1,418.8,3700.0,0.0,0.05, 0 x 4333,0.05,-0.00053,-2e-05,0.00415,-0.02462,-0.00031,0.7173,1.0,416.0,0.101
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.98636,0.00098,0.0509,-0.06998,0.00696,1.14907,3.0,293.17, 100 x 100,293.4,298.7,3820.0,0.0,0.05, 0 x 629,0.05,-0.00122,6e-05,0.00592,-0.02542,0.0,0.50723,6.0,296.0,0.072
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.95661,0.0011,0.14776,-0.9202,0.01712,1.18888,6.0,139.07, 100 x 100,279.2,284.6,3835.0,0.0,0.05, 0 x 1312,0.05,-0.00092,8e-05,0.00639,-0.02519,0.0,0.48165,2.0,281.0,0.068
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.97277,0.00176,0.0935,-0.06959,0.00972,0.88594,2.0,216.95, 20 x 1,198.4,213.7,3910.0,0.0,0.05, 0 x 966,0.05,-0.00112,8e-05,0.00782,-0.02519,0.0,0.35024,8.0,206.0,0.05
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.96178,0.00188,0.12525,-0.22036,0.01283,0.85318,3.0,230.61, 20 x 1,183.4,199.0,3925.0,0.0,0.05, 0 x 1071,0.1,-0.00192,9e-05,0.00859,-0.02464,-0.0004,0.32408,99.0,191.0,0.046
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.93771,0.00301,0.18216,-0.41966,0.01361,0.6807,13.0,175.27, 20 x 20,128.4,144.4,3980.0,0.0,0.05, 0 x 667,0.05,-0.00248,0.00018,0.01142,-0.02464,-0.00037,0.22645,223.0,136.0,0.033
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.95331,0.00344,0.13669,-0.06998,0.00979,0.62399,6.0,154.44, 20 x 2,118.4,133.7,3990.0,0.0,0.05, 0 x 618,0.05,-0.002,0.00016,0.01254,-0.02583,0.0,0.20895,99.0,126.0,0.031
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.94249,0.00354,0.16433,-0.22063,0.01203,0.61511,11.0,141.5, 20 x 1,113.4,129.0,3995.0,0.0,0.05, 0 x 594,0.05,-0.00278,0.00023,0.0133,-0.02502,-0.00046,0.20021,198.0,121.0,0.029
1654718400, 2022-06-08 16:00, 2022-06-08,16.0,4115.98, 2022-06-08,1654718400,0.0,0.95021,0.0046,0.13663,-0.02009,0.00891,0.52794,1.0,139.35, 20 x 20,96.0,106.0,4015.0,0.0,0.05, 0 x 290,0.05,-0.00318,0.00029,0.01523,-0.02508,0.0,0.1635,149.0,101.0,0.025
