QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.97018,0.00068,0.11682,-1.38996,0.06983,0.63773,2.0,172.72, 1 x 1,189.5,205.2,3600.0,0.0,0.05, 0 x 1240,0.05,-0.00113,2e-05,0.00798,-0.02544,0.0,0.39629,96.0,196.0,0.052
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.96802,0.00073,0.11988,-1.39054,0.06995,0.60921,2.0,156.98, 21 x 1,179.4,195.3,3610.0,0.0,0.05, 0 x 790,0.05,-0.00117,8e-05,0.00816,-0.02511,-0.00036,0.37683,98.0,186.0,0.049
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.96583,0.00079,0.12784,-1.3407,0.06979,0.53522,50.0,153.41, 20 x 1,154.4,170.2,3635.0,0.0,0.05, 0 x 512,0.07,-0.00119,0.0002,0.00871,-0.02474,-0.00058,0.3293,27.0,161.0,0.042
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.96383,0.00087,0.13391,-1.38983,0.07038,0.52541,50.0,148.39, 21 x 1,149.4,165.3,3640.0,0.0,0.05, 0 x 961,0.05,-0.00181,7e-05,0.00942,-0.02543,0.0,0.3198,343.0,156.0,0.041
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.97865,0.0007,0.0865,-0.69048,0.07106,0.43421,4.0,122.77, 10 x 10,144.6,148.7,3650.0,0.0,0.05, 0 x 993,0.05,-0.00163,0.00014,0.00918,-0.02492,-0.00023,0.3003,729.0,146.0,0.038
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.96098,0.00104,0.14146,-1.33979,0.06988,0.46495,2.0,102.9, 20 x 1,129.4,145.2,3660.0,0.0,0.05, 0 x 867,0.05,-0.00133,0.00015,0.01,-0.0253,-0.00036,0.28084,309.0,136.0,0.036
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.97664,0.00082,0.09233,-0.69,0.07175,0.39552,1.0,101.41, 10 x 10,129.6,133.7,3665.0,0.0,0.05, 0 x 612,0.05,-0.00165,0.00011,0.01073,-0.02507,0.0,0.27137,186.0,131.0,0.035
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.97595,0.00087,0.09513,-0.69048,0.07183,0.38319,2.0,96.29, 10 x 10,124.6,128.7,3670.0,0.0,0.05, 0 x 610,0.05,-0.00203,0.00019,0.01104,-0.025,-0.00038,0.26203,550.0,126.0,0.033
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.97605,0.00091,0.09676,-0.6896,0.07152,0.36941,1.0,80.9, 10 x 10,119.6,123.7,3675.0,0.0,0.05, 0 x 704,0.05,-0.00225,0.00019,0.0106,-0.02531,-0.00023,0.25282,315.0,121.0,0.032
1656014400, 2022-06-23 16:00, 2022-06-23,16.0,3795.96, 2022-06-23,1656014400,0.0,0.95809,0.0013,0.15194,-1.29012,0.07061,0.4044,2.0,111.4, 1 x 21,109.3,125.2,3680.0,0.0,0.05, 0 x 578,0.05,-0.00204,0.00019,0.01151,-0.02533,0.0,0.24337,832.0,116.0,0.031
