QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99434,4e-05,0.02784,-0.70006,0.06567,1.93132,1.0,0.0, 2 x 2,801.0,802.4,3300.0,0.0,0.05, 0 x 4532,0.05,-0.00018,0.0,0.00256,-0.02495,0.0,1.45272,4.0,801.0,0.195
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99515,5e-05,0.02669,-0.45057,0.07192,1.14564,1.0,362.43, 2 x 2,500.7,502.2,3600.0,0.0,0.05, 0 x 6370,0.05,-0.00011,-4e-05,0.00365,-0.02455,0.0,0.90114,2.0,501.0,0.122
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99026,0.00013,0.04623,-0.69989,0.07332,0.99151,1.0,176.51, 2 x 2,401.0,402.4,3700.0,0.0,0.05, 0 x 4199,0.05,-0.0003,-1e-05,0.00441,-0.02506,-0.00055,0.72392,132.0,401.0,0.098
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99899,3e-05,0.00675,-0.15005,0.07446,0.69526,5.0,202.77, 2 x 2,370.5,371.8,3730.0,0.0,0.05, 0 x 504,1.18,-0.00096,6e-05,0.00524,-0.02562,0.0,0.67197,10.0,371.0,0.09
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99933,1e-05,0.0066,-0.14995,0.07469,0.67741,5.0,194.02, 2 x 2,360.5,361.8,3740.0,0.0,0.05, 0 x 494,0.05,-0.00107,3e-05,0.00469,-0.02509,0.0,0.65347,14.0,361.0,0.088
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99316,0.00013,0.03529,-0.44998,0.07429,0.81815,1.0,381.52, 2 x 2,350.7,352.2,3750.0,0.0,0.05, 0 x 2324,0.05,-0.00096,4e-05,0.00484,-0.02533,0.0,0.63677,90.0,351.0,0.086
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.98935,0.00021,0.05316,-0.70038,0.07409,0.83042,1.0,175.51, 2 x 2,331.0,332.4,3770.0,0.0,0.05, 0 x 509,0.05,-0.00042,-1e-05,0.00483,-0.02515,0.0,0.601,8.0,331.0,0.081
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99779,3e-05,0.01428,-0.20015,0.07534,0.63229,2.0,0.0, 2 x 2,310.5,311.9,3790.0,0.0,0.05, 0 x 571,0.1,-0.00052,-2e-05,0.00514,-0.02484,0.0,0.56673,69.0,311.0,0.076
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99634,7e-05,0.02066,-0.25007,0.07523,0.6518,5.0,159.4, 2 x 2,305.5,307.0,3795.0,0.0,0.05, 0 x 1488,0.07,-0.00048,0.0,0.00524,-0.02472,-0.00038,0.5575,35.0,306.0,0.075
1654113600, 2022-06-01 16:00, 2022-06-01,16.0,4101.0, 2022-06-01,1654113600,0.0,0.99829,4e-05,0.00724,-0.15015,0.07542,0.56616,1.0,311.57, 2 x 2,300.5,301.8,3800.0,0.0,0.05, 0 x 2132,0.05,-0.0012,-1e-05,0.00577,-0.02516,-0.00019,0.54941,196.0,301.0,0.073
