QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.91576,2e-05,0.19545,-0.70993,0.00629,6.75375,1.0,0.0, 20 x 1,1500.6,1516.5,2600.0,0.0,0.05, 0 x 5847,0.05,0.0,0.0,0.00152,-0.02529,0.0,2.90399,5.0,1507.8,0.367
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.93647,3e-05,0.17216,-0.70993,0.00692,4.39884,5.0,1223.1, 20 x 1,1100.6,1116.5,3000.0,0.0,0.05, 0 x 5716,0.05,-0.00029,0.0,0.00185,-0.02481,-0.00041,2.02783,25.0,1107.8,0.27
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.93827,2e-05,0.16753,-0.71047,0.0073,4.14775,5.0,1173.2, 20 x 1,1050.6,1066.5,3050.0,0.0,0.05, 0 x 944,0.05,-0.00049,0.0,0.0021,-0.02548,-8e-05,1.92627,1.0,1057.8,0.258
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.95249,9e-05,0.14256,-0.71006,0.00802,3.01152,1.0,0.0, 20 x 1,800.6,816.5,3300.0,0.0,0.05, 0 x 5716,0.05,-9e-05,2e-05,0.00211,-0.02512,0.0,1.43669,51.0,807.8,0.197
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.95118,0.00017,0.14707,-1.26066,0.00993,2.94597,1.0,730.0, 20 x 1,775.6,792.6,3325.0,0.0,0.05, 0 x 5716,0.05,-0.00011,2e-05,0.00219,-0.02549,-0.00026,1.38935,6.0,782.8,0.191
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.95479,0.00019,0.1402,-1.2604,0.01102,2.64667,1.0,681.35, 20 x 1,700.6,717.6,3400.0,0.0,0.05, 0 x 5717,0.05,-0.00059,1e-05,0.00257,-0.02574,-0.00049,1.2505,74.0,707.8,0.172
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96363,0.00023,0.11742,-0.71008,0.00966,2.22529,1.0,555.31, 20 x 1,600.6,616.5,3500.0,0.0,0.05, 0 x 6256,0.05,-0.00048,5e-05,0.00364,-0.02541,-0.0004,1.06663,3.0,607.8,0.148
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96467,0.00026,0.11583,-0.76028,0.0098,2.12145,10.0,421.19, 20 x 1,570.6,586.6,3530.0,0.0,0.05, 0 x 5605,0.4,-0.00053,-3e-05,0.00281,-0.02515,0.0,1.01072,28.0,577.8,0.141
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96285,0.0003,0.12132,-0.95961,0.01107,2.1023,10.0,411.41, 15 x 100,563.8,573.8,3540.0,0.0,0.05, 0 x 572,0.45,-8e-05,2e-05,0.00287,-0.02544,-0.0004,0.99333,189.0,567.8,0.138
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96672,0.00033,0.11076,-0.71008,0.00984,2.0097,1.0,568.39, 20 x 1,540.6,556.5,3560.0,0.0,0.05, 0 x 572,0.5,-8e-05,4e-05,0.00391,-0.02517,0.0,0.95697,194.0,547.8,0.133
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96688,0.0003,0.1097,-0.70967,0.0105,1.95796,1.0,481.08, 20 x 1,525.6,541.5,3575.0,0.0,0.05, 0 x 701,0.05,-0.00019,-4e-05,0.00358,-0.02539,0.0,0.93058,1.0,532.8,0.13
1654286400, 2022-06-03 16:00, 2022-06-03,16.0,4107.84, 2022-06-03,1654286400,0.0,0.96213,0.00034,0.12817,-1.26006,0.01308,1.91824,10.0,512.06, 20 x 1,500.6,517.6,3600.0,0.0,0.05, 0 x 10108,0.05,-0.00067,-1e-05,0.00418,-0.02476,0.0,0.88543,1.0,507.8,0.124
