QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.94989,7e-05,0.26273,-28.6219,0.09419,5.08872,2.0,0.0, 2 x 2,1503.0,1509.4,2200.0,0.0,0.1, 0 x 102,0.05,-0.00047,0.0,0.00308,-0.04975,-0.00037,2.24237,98.0,1474.8,0.401
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.94191,9e-05,0.29445,-28.33228,0.10182,4.36747,3.0,1293.5, 2 x 2,1303.0,1309.4,2400.0,0.0,0.1, 0 x 102,0.05,-0.00077,0.0,0.00327,-0.04968,-0.0005,1.88062,40.0,1274.8,0.347
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.82601,0.0008,0.64964,-23.63892,0.129,1.26519,4.0,293.95, 2 x 2,303.1,309.5,3400.0,0.0,0.1, 0 x 60,0.35,-0.00213,3e-05,0.0146,-0.05051,-6e-05,0.38901,2742.0,274.8,0.075
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.80665,0.00098,0.69403,-22.81608,0.12798,1.11185,2.0,536.14, 2 x 2,253.1,259.5,3450.0,0.05,0.2, 3 x 46,0.6,-0.00446,0.00019,0.03312,-0.12417,-0.00056,0.35303,1217.0,224.8,0.061
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.7812,0.00126,0.74749,-21.83334,0.12621,0.95629,1.0,244.25, 2 x 2,203.3,209.6,3500.0,0.2,0.3, 2 x 32,1.5,-0.00936,0.0003,0.06553,-0.24825,-0.00202,0.3039,42.0,174.8,0.048
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.7496,0.00149,0.80522,-21.57872,0.12215,0.84662,5.0,135.55, 2 x 2,160.5,175.8,3540.0,0.5,0.6, 4 x 58,3.05,-0.02156,0.00073,0.13185,-0.53845,-0.00395,0.27053,12.0,134.8,0.037
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.74449,0.00158,0.81157,-20.5737,0.12257,0.7977,6.0,126.65, 2 x 2,153.2,160.5,3550.0,0.5,0.7, 33 x 16,3.47,-0.02447,0.00092,0.14595,-0.58483,-0.00475,0.2564,69.0,124.8,0.034
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.72194,0.00182,0.84905,-20.67399,0.119,0.75024,1.0,129.8, 2 x 2,131.1,146.2,3570.0,0.85,1.15, 51 x 14,4.9,-0.04066,0.00136,0.22036,-0.95517,-0.00662,0.2424,11.0,104.8,0.029
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.71597,0.00185,0.8572,-20.52295,0.1187,0.73462,1.0,106.89, 2 x 2,126.3,141.3,3575.0,1.0,1.3, 33 x 14,5.6,-0.04561,0.00158,0.2449,-1.08919,-0.00757,0.23954,10.0,99.8,0.027
1655755200, 2022-06-20 16:00, 2022-06-20,16.0,3674.84, 2022-06-21,1655841600,1.0,0.69776,0.00199,0.88158,-20.04044,0.11617,0.68828,8.0,103.4, 2 x 2,112.0,126.7,3590.0,1.55,1.85, 17 x 12,7.25,-0.06722,0.00229,0.32948,-1.5621,-0.01205,0.22838,37.0,84.8,0.023
