QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.99282,0.00015,0.03564,-0.44969,0.06894,0.81544,1.0,270.48, 2 x 40,311.6,332.9,3500.0,0.0,0.05, 0 x 4041,0.05,-0.00101,6e-05,0.00508,-0.02513,0.0,0.62964,192.0,321.8,0.084
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.99165,0.00017,0.03738,-0.45043,0.07001,0.75606,1.0,245.81, 2 x 40,286.6,307.9,3525.0,0.0,0.05, 0 x 3934,0.05,-0.00111,6e-05,0.00487,-0.02463,-0.00025,0.58298,4458.0,296.8,0.078
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.99109,0.00015,0.03983,-0.44991,0.07005,0.69707,2.0,166.85, 2 x 40,261.6,282.9,3550.0,0.0,0.05, 0 x 1005,0.05,-0.00122,9e-05,0.00523,-0.02522,-0.00043,0.53578,127.0,271.8,0.071
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.96829,0.00072,0.12214,-1.44978,0.07038,0.62653,2.0,0.0, 1 x 40,185.5,201.0,3630.0,0.0,0.05, 0 x 223,4.6,-0.0015,0.00011,0.00723,-0.02577,0.0,0.38576,1.0,191.8,0.05
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.95807,0.0008,0.15185,-1.94987,0.06966,0.63454,1.0,146.4, 40 x 2,176.0,191.5,3640.0,0.0,0.05, 0 x 250,0.05,-0.00119,0.0001,0.00765,-0.02533,-0.00061,0.36684,1.0,181.8,0.048
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.96137,0.001,0.14331,-1.49997,0.07061,0.51808,1.0,234.95, 1 x 40,145.6,161.0,3670.0,0.0,0.05, 0 x 204,0.05,-0.00131,5e-05,0.00922,-0.02525,-0.00029,0.30948,10.0,151.8,0.04
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.95951,0.00101,0.14966,-1.54969,0.07043,0.50646,2.0,80.83, 1 x 40,140.7,156.0,3675.0,0.0,0.05, 0 x 400,0.05,-0.00122,0.0001,0.00967,-0.02455,-0.00053,0.29993,459.0,146.8,0.038
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.95803,0.00102,0.15201,-1.5503,0.06999,0.4927,1.0,114.5, 1 x 40,135.7,151.0,3680.0,0.0,0.05, 0 x 290,0.05,-0.00151,0.00016,0.00949,-0.02519,-0.00042,0.29036,1.0,141.8,0.037
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.95836,0.00115,0.15292,-1.4505,0.07071,0.45734,2.0,101.3, 1 x 40,125.5,141.0,3690.0,0.0,0.05, 0 x 291,0.05,-0.00207,0.00014,0.01068,-0.02501,-0.0001,0.27176,4.0,131.8,0.034
1656446400, 2022-06-28 16:00, 2022-06-28,16.0,3821.8, 2022-06-28,1656446400,0.0,0.95554,0.00118,0.15919,-1.49974,0.07057,0.4457,1.0,71.02, 2 x 40,120.6,136.0,3695.0,0.0,0.05, 0 x 290,0.07,-0.0017,0.00013,0.01098,-0.02503,0.0,0.26162,21.0,126.8,0.033
